L,p,promedio_cluster_percolante,desviacion_cluster_percolante,media_P,desviacion_P
512,0.5348,0.00000,0.00000,0.00000,0.00000
512,0.5350,0.00000,0.00000,0.00000,0.00000
512,0.5463,0.00000,0.00000,0.00000,0.00000
512,0.5500,0.00000,0.00000,0.00000,0.00000
512,0.5723,0.00000,0.00000,0.00000,0.00000
512,0.5861,0.15452,0.03817,0.15000,0.10801
512,0.5966,0.33241,0.07755,0.90000,0.09428
512,0.6000,0.39607,0.06023,1.00000,0.00000
512,0.6050,0.45477,0.03818,1.00000,0.00000
512,0.6072,0.47427,0.02530,1.00000,0.00000
512,0.6084,0.48571,0.02440,1.00000,0.00000
512,0.6443,0.60434,0.00248,1.00000,0.00000
512,0.6500,0.61482,0.00224,1.00000,0.00000
512,0.6595,0.63090,0.00181,1.00000,0.00000
512,0.6639,0.63785,0.00196,1.00000,0.00000
512,0.6965,0.68281,0.00124,1.00000,0.00000
512,0.7000,0.68725,0.00135,1.00000,0.00000
512,0.7667,0.76304,0.00086,1.00000,0.00000
512,0.7747,0.77181,0.00081,1.00000,0.00000
512,0.8000,0.79823,0.00092,1.00000,0.00000
512,0.8597,0.85928,0.00070,1.00000,0.00000
512,0.9000,0.89989,0.00061,1.00000,0.00000
512,0.9483,0.94838,0.00045,1.00000,0.00000
512,0.9747,0.97470,0.00026,1.00000,0.00000
512,0.9826,0.98259,0.00023,1.00000,0.00000
512,0.9828,0.98278,0.00024,1.00000,0.00000
512,0.9978,0.99781,0.00009,1.00000,0.00000
512,0.9991,0.99910,0.00006,1.00000,0.00000
512,1.0000,1.00000,0.00000,1.00000,0.00000
